zone,severity,latitude,longitude,population,daily_water_need_liters,daily_food_need_kg,daily_medical_cases,water_stock_liters,food_stock_kg,medical_kit_stock,primary_ngo,nearest_supply_route,conflict_risk,warehouse_lat,warehouse_long,restock_interval_days,next_restock_date,transit_time_hours,maintenance_type,maintenance_interval_days,next_maintenance_date,fallback_warehouse_lat,fallback_warehouse_long,fallback_transit_time_hours,fallback_trigger,route_priority,priority_index
Zone_1,Severe,32.92566464,43.5702341,22266,44532,11133.0,209,119966.5743,89152.18999,1945.701006,HopeBridge,R-04 Pine Road,Medium,33.19283278,43.94806627,11,2026-04-08,7.275055541,Structural Check,87,2026-06-23,32.95623091,43.7944758,8.953654767,Primary_Maintenance,Auto-Switch,66
Zone_2,Moderate,34.70950474,43.48187279,25792,51584,12896.0,216,149530.0752,116175.6403,1275.13917,MedGlobal,SR Ridge Road,Low,34.86930744,43.46374618,11,2026-04-08,4.733838732,Vehicle Maintenance,88,2026-06-24,34.20647833,43.8943503,3.337055524,Primary_Maintenance,Fallback,95
Zone_3,Moderate,36.36472918,47.43752748,25452,50904,12726.0,211,407696.2474,61747.29045,723.2409427,SolidarityAid,R-09 Hill Corridor,Low,36.31067648,47.50062176,8,2026-04-05,6.972515106,Vehicle Maintenance,105,2026-07-11,35.97227373,47.7893577,6.534726433,Conflict_Risk_Medium,Primary,56
Zone_4,Severe,35.66112443,43.4972772,34511,69022,17255.5,249,373380.4252,143353.5899,1823.075534,GlobalRelief,R-22 Desert Track,Medium,35.38578513,43.59096482,9,2026-04-06,8.203992779,Structural Check,88,2026-06-24,35.63584642,44.11644284,7.890188007,Conflict_Risk_High,Fallback,74
Zone_5,Critical,36.03280574,43.63169836,15758,31516,7879.0,29,352118.2039,51658.628,200.9733715,SolidarityAid,R-04 Pine Road,Medium,36.25966931,43.77131548,11,2026-04-08,7.521606673,Structural Check,106,2026-07-12,35.39226501,43.48925733,6.800626092,Primary_Maintenance,Fallback,79
Zone_6,Critical,35.29391683,46.55638957,24661,49322,12330.5,187,299182.5848,84096.14808,1851.697912,GlobalRelief,R-09 Hill Corridor,Medium,35.50177894,46.55194526,4,2026-04-01,8.184513918,Routine Inspection,115,2026-07-21,35.24146441,46.14533101,7.66653226,Route_Disruption,Auto-Switch,92
Zone_7,Critical,35.46138282,44.69843905,21311,42622,10655.5,147,146313.4233,102055.8814,497.6575612,GlobalRelief,SR Ridge Road,Low,35.11467898,44.21631259,8,2026-04-05,5.691587425,Generator Service,44,2026-05-11,35.3479,44.76971675,8.725118445,Conflict_Risk_Medium,Primary,35
Zone_8,Moderate,36.24597826,46.66026334,13566,27132,6783.0,171,248181.5139,32688.52206,1205.299575,ReliefAid Intl,SR Coastal Highway,High,36.66073009,46.49498603,7,2026-04-04,3.074608821,Routine Inspection,106,2026-07-12,36.63704903,46.11530371,5.620359441,Primary_Maintenance,Primary,96
Zone_9,Moderate,33.24834004,42.39219695,34122,68244,17061.0,118,336684.1089,88382.73815,173.2492278,HopeBridge,SR Harbor Link,Low,32.81274516,42.07607019,7,2026-04-04,8.080073702,Vehicle Maintenance,30,2026-04-27,33.04525879,42.09658852,8.940680729,Route_Disruption,Auto-Switch,96
Zone_10,Moderate,34.44712482,44.92542716,16889,33778,8444.5,191,245049.3604,94970.37605,386.3575405,SolidarityAid,SR Lake Access,Low,34.00216253,45.10557,5,2026-04-02,7.645278539,Structural Check,67,2026-06-03,35.12269308,44.51647044,4.140412733,Primary_Maintenance,Auto-Switch,88
